Company Name,Job Profile,Individual Stipend
Edelweiss Financial Services,Business Analysis, 15000 /month
Reliance Industries Limited,Event Management, 10000 /month
Shangrila Corporate Services Private Limited,Social Media Marketing, 7000 /month
Zomato Media Private Limited,Business Development (Lead Generation), 15000 /month
Devlance,Mobile App Development, 10000 /month
Mates And Mods,Marketing, 7000 /month
Rubikon Labs,Web Development, 15000-25000 /month
Devlance,LAMP Stack Web Development, 10000 /month
Devlance,Flutter Development, 10000 /month
ThinkPen Media Private Limited,Web Development, 6000-8000 /month
Devlance,MERN Stack Web Development, 10000 /month
Fashionablyin,Social Media Marketing, 8000-15000 /month
Bullmen Realty India Private Limited,Business Development (Sales), 25000 /month
1Only Host,Business Development (Sales), 2000-7000 /month
Edufu Technologies Private Limited,ReactJS development, 8000 /month
BooksApp,iOS App Development, 10000-12500 /month
Bullmen Realty India Private Limited,Business Development (Sales), 25000 /month
MandatoryTrendz,Business Development (Sales), 10000 /month
PerfectlyOkay,Website Assistance, 8000 /month
SOLIR Group,Marketing, 8000-16000 /month
Kalpas Innovations Private Limited,DevOps Development, 10000 /month
SchoolMitra,Graphic Design, 5000-7500 /month
SaffireTech,Web Development, 8000 /month
Rydeu Logistics UG,Sales (B2B) & Lead Generation, 10000-15000 /month
PP Technologies,Programming & PCB Designing, 10000 /week
Rydeu Logistics UG,SEO Development (React.js), 10000-15000 /month
The Renal Project,Front End Development, 5000-10000 /month
TechWeirdo Consultancy Private Limited,Django Development, 15000-25000 /month
OceanFrogs,Angular 12 Development, 20000-25000 /month
Shubhchintak,Graphic Design, 4000-6000 /month
Gadgets Geek India,B2C Sales, 8000 /month +  Incentives
LeapUp India,Graphic Design, 6000 /month
ValueFirst Digital Media Private Limited,Business Development (Sales), 10000 /month
Bollygrad Studioz,Graphic Design, 5000-10000 /month
Techera Knowledge And Careers,Business Development (Sales), 1500-6000 /month
Techera Knowledge And Careers,Marketing, 4000-8000 /month
Innovacio Technologies,ReactJS/React Native/Node.js Developmnet, 7000 /month
Emoha Eldercare,Information Technology, 20000 /month
Tiyana Incorporation,Business Development (Sales), 15000-20000 /month
Iraitech Innovations & Technologies Private Limited,Machine Learning, 7000-14000 /month
ThrivingZen (OPC) Private Limited,Graphic Design, 6000-12000 /month
Experts Bazaar,Graphic Design, 10000 /month
DigitaArch.com,Business Development (Sales), 10000 lump sum
Mirador,Graphic Design, 10000 /month
Travancore Systems,C# Development, 6000 /month +  Incentives
EDUX,Marketing, 5000-10000 /month
Ekatvam Innovations,Python Development, 5000-10000 /month
Blockchain Tree Private Limited,Graphic Design, 8000-15000 /month
IDMD Academy,Marketing, 10000 /month +  Incentives
9I Digital Services LLP,Front End Development(React), 5000-9000 /month
Medyug Technology Private Limited,Business Development (Sales), 15000-20000 /month
ApexSkill,Mobile App Development, 5500-10000 /month
Truechip Solutions,Business Development (Sales), 8000 /month
Skygoal,Full Stack Mobile Application Development (React Native), 5000-8000 /month
Marktechpost LLC,Graphic Design, 10000 /month
MyWays,NodeJS Development, 4000-7000 /month
Eat Nino Private Limited,Graphic Design, 5000-10000 /month
UFaber Edutech,STEM Content Development, 8000 /month
Selection Wala Overseas Pty Limited,Education Counseling, 10000-18000 /month
UFaber Edutech,Product Design, 8000 /month
Deepak Kandpal (Walla Habibi App),Mobile App Development, 4000-7000 /month
Growth Best,Marketing, 1000-6000 /month
E-trainer Analytics Wizard Private Limited,Web Development, 10000-15000 /month
Big Internet E-commerce Private Limited,Marketing, 10000 /month
Doctor Digial,Graphic Design, 6000 /month
GrowthGear,Front End Development, 10000 /month
Across The Globe (ATG),Business Development, 3500-7000 /month
Flytant Developers Private Limited,Mobile App Development, 7500 /month
Learning Curve- My Personal Tutor,Sales And Marketing, 22000-25000 lump sum
Mookuthi Jewellery LLP,Graphic Design, 15000 /month
Experimental Technologies Private Limited,Graphic Design, 7000 /month
TransWeb Global Incorporation,Subject Matter Expert (Civil Engineering), 10000 /month
Study Cloud,HOD Of Robotics & Coding, 4000-8000 /month
Keystone Principal Associates,Graphic Design, 7000 /month
E-StudyPal,Graphic Design, 6000 /month
Rydeu Logistics UG,Backend Development (Node.js), 10000-15000 /month
Foodwalas,Business Development (Sales), 3000-6000 /month
Darwin Digitech,Web Development, 5000-8000 /month
Epsilon International,Web Development, 8000-12000 /month
Futops Technologies India Private Limited,Computer Vision Engineering, 10000-20000 /month
PURC Organics,Graphic Design, 8000 /month
Keysight Technologies,SPICE Model Development, 20000 /month
OyeLabs,ReactJS development, 5000-10000 /month
Sakshi,Web Development, 7500 /month
Crossways Gourmet Foods,Business Development (Sales), 6500 /month
Tangerine Innovation Labs Private Limited,Frontend Development, 20000 /month
OyeLabs,Business Development (Sales), 5000-10000 /month
URBANHANDS PRIVATE LIMITED,Business Development (Sales), 6000 /month
Passosync Analytics,Web Development, 10000 /month
Think Gestalt,Android Development, 6000-8000 /month
Embedded Technosolutions,Graphic Design, 5000-7000 /month
Blackcoffer,Full Stack Development (MERN), 8000-12000 /month
NatWest Group,Full Stack Application Development, 15000 /month
K21 Academy,Graphic Design, 10000 /month
Robocom International,C Programming, 3000-8000 /month
Cheerio Digital Solutions Private Limited,Graphic Design, 10000 /month
Foodistaan,Graphic Design, 5000-8000 /month
Glorio Technologies Private Limited,Mobile App Development, 8000-12000 /month
AFTR Global,Graphic Design, 15000-25000 /month
Wizklub Learning,Marketing, 12000 /month
Digital Folks Cooperation,Graphic Design, 8000-15000 /month
Bullmen Realty India Private Limited,Business Development (Sales), 15000-25000 /month
Grivaa Consultancy Services,Mobile App Development, 5000-8000 /month
Cancard,Web Development, 10000-12000 /month
BunkIn Hospitality Private Limited,Graphic Design, 6000 /month
FinsightAI Technologies Private Limited,Computer Vision, 8000-16000 /month
Netcore Cloud,Marketing, 10000-12000 /month
Iraitech Innovations & Technologies Private Limited,Full-Stack (MERN Stack) Development, 7000-14000 /month
Entrepreneur Growth Lab (OPC) Private Limited,Graphic Design, 4000-7000 /month
EnR Consultancy Services,Internet Of Things (IoT), 3000-8000 /month
NSL Impex Private Limited,Web Development, 13500 /month
NSL Impex Private Limited,Graphic Design, 14500 /month
Anyvair Ventures Private Limited,Graphic Design, 6000 /month
NSL Impex Private Limited,Marketing, 12000 /month
NSL Impex Private Limited,Mobile App Development, 20000 /month
NSL Impex Private Limited,Web Development, 15000 /month
Guruji Astro,Graphic Design, 12000 /month
Across The Globe (ATG),Product Management, 2500-7000 /month
Error Technologies,React Native Development (Redux), 6000 /month
DigiBoxx,Mobile App Development, 7000 /month
ICode School Of Computer Science (Mumbai),Teaching (Information Technology), 10000 /month
Textify AI,Backend Development, 10000-20000 /month
Ebisu Technologies Private Limited,React Native Development, 15000 /month
Knizy Technologies Private Limited,Web Development, 8000-12000 /month
SheAisha,Business Development (Sales), 7000-12000 /month
Knizy Technologies Private Limited,Web Development, 8000-15000 /month
Namastay,Business Development (Sales), 6000-12000 /month
Adjar,Business Development (Sales), 10000 /month
Curl Cure,Graphic Design, 7000 /month
Adstacks Media,Business Development (Sales), 10000 /month
AlphaStocks,Web Development, 40000-50000 /month
Proffus,Graphic Design, 6000-10000 /month
Feednet Solutions Private Limited,Azure Development, 6000-12000 /month
Techolution,QA, 15000 /month
Datakue Services Private Limited,Graphic Design, 8000 /month
Encompass Ideas,Graphic Design, 10000 /month
Peopleist India Private Limited,Mobile App Development, 20000 /month
Hermanos,WordPress Development, 3000-6000 /month
Rezolut Infotech,Web Development, 12000 /month
Entremax Global Solutions,Marketing, 10000 /month +  Incentives
SUPROS,Marketing, 3000-6000 /month
SIRPI Products & Services Private Limited,Technical Project Management, 14000 /month
VP Delivery Services Private Limited,Graphic Design, 6000 /month
UFaber Edutech,Backend Development, 8000 /month
VDerive,Windows Programming, 800-4000 /week
Breakitivity,Mobile App Development, 5000-10000 /month
